N,M,algorithm,mean_ms,std_ms,gpu_ms,gpu_std,speedup
100,2,CPP-NSGA2,0.0,0.0,14.017193472385406,37.14706228784157,0.0
100,2,CPP-DCNS,0.0,0.0,14.017193472385406,37.14706228784157,0.0
100,2,CPP-BOS,0.0,0.0,14.017193472385406,37.14706228784157,0.0
100,2,GPU-NDS,14.017193472385406,37.14706228784157,14.017193472385406,37.14706228784157,1.0
500,2,CPP-NSGA2,1.3956,2.088069788105752,2.9565407991409303,0.23693750134984476,0.4720381333501346
500,2,CPP-DCNS,0.6905999999999999,1.2661861790431925,2.9565407991409303,0.23693750134984476,0.2335837882570958
500,2,CPP-BOS,0.4023,1.2069,2.9565407991409303,0.23693750134984476,0.13607118160415532
500,2,GPU-NDS,2.9565407991409303,0.23693750134984476,2.9565407991409303,0.23693750134984476,1.0
1000,2,CPP-NSGA2,5.5416,2.107145661789901,5.53286395072937,0.2948206983415922,1.0015789380234947
1000,2,CPP-DCNS,3.0942,2.1227007702453022,5.53286395072937,0.2948206983415922,0.5592402104143744
1000,2,CPP-BOS,0.7440999999999999,0.6271839363376585,5.53286395072937,0.2948206983415922,0.13448731192855534
1000,2,GPU-NDS,5.53286395072937,0.2948206983415922,5.53286395072937,0.2948206983415922,1.0
2000,2,CPP-NSGA2,21.533499999999997,1.9353608061547591,11.335599899291992,0.32733519696092334,1.8996347958033482
2000,2,CPP-DCNS,12.179599999999999,1.9218579656155654,11.335599899291992,0.32733519696092334,1.0744557066415799
2000,2,CPP-BOS,2.4227,1.2045874023913747,11.335599899291992,0.32733519696092334,0.2137249039771877
2000,2,GPU-NDS,11.335599899291992,0.32733519696092334,11.335599899291992,0.32733519696092334,1.0
5000,2,CPP-NSGA2,144.29379999999998,8.22073938037206,36.12478103637695,3.7084736720401303,3.9943162521787725
5000,2,CPP-DCNS,80.9255,4.863044031262726,36.12478103637695,3.7084736720401303,2.240165827400022
5000,2,CPP-BOS,12.8075,1.6701716229178365,36.12478103637695,3.7084736720401303,0.35453502090720207
5000,2,GPU-NDS,36.12478103637695,3.7084736720401303,36.12478103637695,3.7084736720401303,1.0
10000,2,CPP-DCNS,329.75729999999993,11.075497461062412,82.67579879760743,6.4652382556145405,3.988558983352004
10000,2,CPP-BOS,47.974599999999995,3.3815823574178983,82.67579879760743,6.4652382556145405,0.5802738007702001
10000,2,GPU-NDS,82.67579879760743,6.4652382556145405,82.67579879760743,6.4652382556145405,1.0
100,3,CPP-NSGA2,0.0528,0.1584,0.7604448080062867,0.09991104580717004,0.06943304687480159
100,3,CPP-DCNS,0.0,0.0,0.7604448080062867,0.09991104580717004,0.0
100,3,CPP-BOS,0.0,0.0,0.7604448080062867,0.09991104580717004,0.0
100,3,GPU-NDS,0.7604448080062867,0.09991104580717004,0.7604448080062867,0.09991104580717004,1.0
500,3,CPP-NSGA2,1.3921000000000001,0.43912013162687036,1.7883040070533753,0.10754758005956896,0.7784470618582304
500,3,CPP-DCNS,0.8437999999999999,0.5062552320717288,1.7883040070533753,0.10754758005956896,0.4718437115120858
500,3,CPP-BOS,0.0,0.0,1.7883040070533753,0.10754758005956896,0.0
500,3,GPU-NDS,1.7883040070533753,0.10754758005956896,1.7883040070533753,0.10754758005956896,1.0
1000,3,CPP-NSGA2,5.374099999999999,2.272075854807669,2.3382336139678954,0.19668607796580517,2.2983588842007756
1000,3,CPP-DCNS,4.1991,1.9601407321924615,2.3382336139678954,0.19668607796580517,1.795842799845086
1000,3,CPP-BOS,0.9105000000000001,0.1744180323246424,2.3382336139678954,0.19668607796580517,0.38939650621774935
1000,3,GPU-NDS,2.3382336139678954,0.19668607796580517,2.3382336139678954,0.19668607796580517,1.0
2000,3,CPP-NSGA2,22.8034,1.6446163199968553,4.7163551330566404,0.1711985391276162,4.834962456531821
2000,3,CPP-DCNS,14.890800000000002,1.0231419060912321,4.7163551330566404,0.1711985391276162,3.1572686067746063
2000,3,CPP-BOS,3.4848,0.6133367427441471,4.7163551330566404,0.1711985391276162,0.7388756575125679
2000,3,GPU-NDS,4.7163551330566404,0.1711985391276162,4.7163551330566404,0.1711985391276162,1.0
5000,3,CPP-NSGA2,140.3596,2.721499042807111,16.12431049346924,0.32817264822816133,8.704843537765491
5000,3,CPP-DCNS,97.8831,4.901033002337364,16.12431049346924,0.32817264822816133,6.0705293438528845
5000,3,CPP-BOS,19.401,2.016745298742506,16.12431049346924,0.32817264822816133,1.2032142402528099
5000,3,GPU-NDS,16.12431049346924,0.32817264822816133,16.12431049346924,0.32817264822816133,1.0
10000,3,CPP-DCNS,408.337,6.4665594252275955,37.090365409851074,3.3051960782543004,11.00924715860435
10000,3,CPP-BOS,77.9827,1.7142640432558813,37.090365409851074,3.3051960782543004,2.102505573571083
10000,3,GPU-NDS,37.090365409851074,3.3051960782543004,37.090365409851074,3.3051960782543004,1.0
100,5,CPP-NSGA2,0.0,0.0,0.7230848073959351,0.07156210742267337,0.0
100,5,CPP-DCNS,0.0,0.0,0.7230848073959351,0.07156210742267337,0.0
100,5,CPP-BOS,0.0,0.0,0.7230848073959351,0.07156210742267337,0.0
100,5,GPU-NDS,0.7230848073959351,0.07156210742267337,0.7230848073959351,0.07156210742267337,1.0
500,5,CPP-NSGA2,1.7271999999999998,0.8543962546734389,1.3681600093841553,0.08920613069965405,1.2624254386571772
500,5,CPP-DCNS,1.2597999999999998,1.6536653107566839,1.3681600093841553,0.08920613069965405,0.9207987306741036
500,5,CPP-BOS,0.0526,0.15780000000000002,1.3681600093841553,0.08920613069965405,0.03844579554965698
500,5,GPU-NDS,1.3681600093841553,0.08920613069965405,1.3681600093841553,0.08920613069965405,1.0
1000,5,CPP-NSGA2,6.8217,1.9032215872041804,1.8198400139808655,0.16698333755772699,3.748516324288123
1000,5,CPP-DCNS,5.146199999999999,1.518295873668897,1.8198400139808655,0.16698333755772699,2.8278309963867563
1000,5,CPP-BOS,1.3904,1.7125764917223407,1.8198400139808655,0.16698333755772699,0.7640232049621365
1000,5,GPU-NDS,1.8198400139808655,0.16698333755772699,1.8198400139808655,0.16698333755772699,1.0
2000,5,CPP-NSGA2,26.5918,1.2339446340902012,2.9146048069000243,0.22443012973555249,9.123638284355627
2000,5,CPP-DCNS,19.180500000000002,2.1092032263392735,2.9146048069000243,0.22443012973555249,6.580823566403294
2000,5,CPP-BOS,4.5045,1.8533303672038612,2.9146048069000243,0.22443012973555249,1.5454925447649246
2000,5,GPU-NDS,2.9146048069000243,0.22443012973555249,2.9146048069000243,0.22443012973555249,1.0
5000,5,CPP-NSGA2,162.04270000000002,2.330885542020462,10.076905536651612,0.358983628674467,16.08060127294238
5000,5,CPP-DCNS,125.7836,4.266541648689253,10.076905536651612,0.358983628674467,12.482363712004767
5000,5,CPP-BOS,24.1984,1.7450935906134086,10.076905536651612,0.358983628674467,2.4013721188499626
5000,5,GPU-NDS,10.076905536651612,0.358983628674467,10.076905536651612,0.358983628674467,1.0
10000,5,CPP-DCNS,511.1478000000001,15.471478040575171,24.49708786010742,0.4460173679089234,20.86565566156069
10000,5,CPP-BOS,90.0178,2.071219486196477,24.49708786010742,0.4460173679089234,3.6746326956923956
10000,5,GPU-NDS,24.49708786010742,0.4460173679089234,24.49708786010742,0.4460173679089234,1.0
100,8,CPP-NSGA2,0.0944,0.2832,0.7081632018089294,0.07979455161342965,0.1333026056124704
100,8,CPP-DCNS,0.0,0.0,0.7081632018089294,0.07979455161342965,0.0
100,8,CPP-BOS,0.0,0.0,0.7081632018089294,0.07979455161342965,0.0
100,8,GPU-NDS,0.7081632018089294,0.07979455161342965,0.7081632018089294,0.07979455161342965,1.0
500,8,CPP-NSGA2,1.8076999999999999,0.9772760152587394,1.1678591966629028,0.1481704710261074,1.54787495373193
500,8,CPP-DCNS,1.6404999999999998,2.4035669847125125,1.1678591966629028,0.1481704710261074,1.4047070097899161
500,8,CPP-BOS,0.40569999999999995,1.2170999999999998,1.1678591966629028,0.1481704710261074,0.34738776828513807
500,8,GPU-NDS,1.1678591966629028,0.1481704710261074,1.1678591966629028,0.1481704710261074,1.0
1000,8,CPP-NSGA2,7.783599999999998,2.4255788669923724,1.591920006275177,0.12472933376629437,4.889441661212803
1000,8,CPP-DCNS,5.4019,3.0883580249057907,1.591920006275177,0.12472933376629437,3.3933237717387135
1000,8,CPP-BOS,1.9091,1.155527104831384,1.591920006275177,0.12472933376629437,1.199243675859675
1000,8,GPU-NDS,1.591920006275177,0.12472933376629437,1.591920006275177,0.12472933376629437,1.0
2000,8,CPP-NSGA2,30.744400000000002,2.4045868751201325,2.624944043159485,0.23100579369140034,11.71240205295761
2000,8,CPP-DCNS,21.6807,1.363953082037648,2.624944043159485,0.23100579369140034,8.259490352375003
2000,8,CPP-BOS,7.044599999999998,3.0013168509839145,2.624944043159485,0.23100579369140034,2.6837143513051207
2000,8,GPU-NDS,2.624944043159485,0.23100579369140034,2.624944043159485,0.23100579369140034,1.0
5000,8,CPP-NSGA2,191.6156,5.099480859852303,8.806857585906982,0.24004262110418112,21.75754497343405
5000,8,CPP-DCNS,151.0395,2.6802853299602276,8.806857585906982,0.24004262110418112,17.150214878198813
5000,8,CPP-BOS,42.5265,1.6587612998861532,8.806857585906982,0.24004262110418112,4.828793878539864
5000,8,GPU-NDS,8.806857585906982,0.24004262110418112,8.806857585906982,0.24004262110418112,1.0
10000,8,CPP-DCNS,633.4026,4.591531143311574,22.817942428588868,0.4304134943985126,27.758970905562567
10000,8,CPP-BOS,157.2552,5.987902901684362,22.817942428588868,0.4304134943985126,6.891734453803035
10000,8,GPU-NDS,22.817942428588868,0.4304134943985126,22.817942428588868,0.4304134943985126,1.0
100,10,CPP-NSGA2,0.0,0.0,0.6795648097991943,0.09167648396687361,0.0
100,10,CPP-DCNS,0.0,0.0,0.6795648097991943,0.09167648396687361,0.0
100,10,CPP-BOS,0.0,0.0,0.6795648097991943,0.09167648396687361,0.0
100,10,GPU-NDS,0.6795648097991943,0.09167648396687361,0.6795648097991943,0.09167648396687361,1.0
500,10,CPP-NSGA2,2.0618,2.0548617374412323,1.1439040064811707,0.12013261313566446,1.8024239694224187
500,10,CPP-DCNS,1.7052,1.376988438586178,1.1439040064811707,0.12013261313566446,1.4906845245218296
500,10,CPP-BOS,0.5949,0.980368752052002,1.1439040064811707,0.12013261313566446,0.5200611210638262
500,10,GPU-NDS,1.1439040064811707,0.12013261313566446,1.1439040064811707,0.12013261313566446,1.0
1000,10,CPP-NSGA2,8.506,2.2792524651736144,1.669104015827179,0.2100625964041925,5.096147345727027
1000,10,CPP-DCNS,6.5008,1.9573655662650247,1.669104015827179,0.2100625964041925,3.894784230555168
1000,10,CPP-BOS,2.7001,2.306782627383863,1.669104015827179,0.2100625964041925,1.6176942685395657
1000,10,GPU-NDS,1.669104015827179,0.2100625964041925,1.669104015827179,0.2100625964041925,1.0
2000,10,CPP-NSGA2,34.9623,1.7855888692529418,2.8969600200653076,0.16777863381785255,12.068616673284923
2000,10,CPP-DCNS,24.5628,1.9005876880586172,2.8969600200653076,0.16777863381785255,8.47881911723665
2000,10,CPP-BOS,9.3689,2.802680019195912,2.8969600200653076,0.16777863381785255,3.234045321684761
2000,10,GPU-NDS,2.8969600200653076,0.16777863381785255,2.8969600200653076,0.16777863381785255,1.0
5000,10,CPP-NSGA2,214.7276,5.680298393570532,9.598051166534423,0.3542401254581419,22.371999927307314
5000,10,CPP-DCNS,157.02349999999998,2.978779120713718,9.598051166534423,0.3542401254581419,16.359935707312612
5000,10,CPP-BOS,54.0711,2.7318571503649305,9.598051166534423,0.3542401254581419,5.633549880264235
5000,10,GPU-NDS,9.598051166534423,0.3542401254581419,9.598051166534423,0.3542401254581419,1.0
10000,10,CPP-DCNS,638.3006,19.32863933234825,23.007804489135744,0.6866790848177233,27.74278616203492
10000,10,CPP-BOS,182.79289999999997,5.627725481044718,23.007804489135744,0.6866790848177233,7.944821509862645
10000,10,GPU-NDS,23.007804489135744,0.6866790848177233,23.007804489135744,0.6866790848177233,1.0
